Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CMY06-I,Copic Ciao,CMY06-I,CIAO MRKR YELLOW,EA,4511338007808,USD,3
CMY08-I,Copic Ciao,CMY08-I,CIAO MRKR ACID YELLOW,EA,4511338007815,USD,3
CMY17-I,Copic Ciao,CMY17-I,CIAO MRKR GOLDEN YELLOW,EA,4511338007822,USD,3
CMYG11-I,Copic Ciao,CMYG11-I,CIAO MRKR MIGNONETTE,EA,4511338007839,USD,3
CMYG41-I,Copic Ciao,CMYG41-I,CIAO MRKR PALE COBLT GREEN,EA,4511338007846,USD,3
CMYG03-I,Copic Ciao,CMYG03-I,CIAO MRKR YELLOW GREEN,EA,4511338007853,USD,3
CMYG06-I,Copic Ciao,CMYG06-I,CIAO MRKR YELLOWISH GREEN,EA,4511338007860,USD,3
CMYG67-I,Copic Ciao,CMYG67-I,CIAO MRKR MOSS,EA,4511338007877,USD,3
CMG00-I,Copic Ciao,CMG00-I,CIAO MRKR JADE GREEN,EA,4511338007884,USD,3
CMG02-I,Copic Ciao,CMG02-I,CIAO MRKR SPECTRUM GREEN,EA,4511338007891,USD,3
CMG21-I,Copic Ciao,CMG21-I,CIAO MRKR LIME GREEN,EA,4511338007907,USD,3
CMG05-I,Copic Ciao,CMG05-I,CIAO MRKR EMERALD GREEN,EA,4511338007914,USD,3
CMG17-I,Copic Ciao,CMG17-I,CIAO MRKR FOREST GREEN,EA,4511338007921,USD,3
CMG99-I,Copic Ciao,CMG99-I,CIAO MRKR OLIVE,EA,4511338007938,USD,3
CMBG01-I,Copic Ciao,CMBG01-I,CIAO MRKR AQUA BLUE,EA,4511338007945,USD,3
CMBG10-I,Copic Ciao,CMBG10-I,CIAO MRKR COOL SHADOW,EA,4511338007952,USD,3
CMBG23-I,Copic Ciao,CMBG23-I,CIAO MRKR CORAL SEA,EA,4511338007969,USD,3
CMBG15-I,Copic Ciao,CMBG15-I,CIAO MRKR AQUA,EA,4511338007976,USD,3
CMBG09-I,Copic Ciao,CMBG09-I,CIAO MRKR BLUE GREEN,EA,4511338007983,USD,3
CMBG93-I,Copic Ciao,CMBG93-I,CIAO MRKR GREEN GRAY,EA,4511338007990,USD,3
CMB00-I,Copic Ciao,CMB00-I,CIAO MRKR FROST BLUE,EA,4511338008003,USD,3
CMB32-I,Copic Ciao,CMB32-I,CIAO MRKR PALE BLUE,EA,4511338008010,USD,3
CMB24-I,Copic Ciao,CMB24-I,CIAO MRKR SKY,EA,4511338008027,USD,3
CMB05-I,Copic Ciao,CMB05-I,CIAO MRKR PROCESS BLUE,EA,4511338008034,USD,3
CMB23-I,Copic Ciao,CMB23-I,CIAO MRKR PHTHALO BLUE,EA,4511338008041,USD,3
